R1101-F.Cu.gbr        Front (Top) layer copper
R1101-In1.Cu.gbr      Inner 1 layer copper
R1101-In2.Cu.gbr      Inner 2 layer copper
R1101-F.Adhes.gbr     Front (Top) layer adhesive
R1101-B.Cu.gbr        Back (Bottom) layer copper
R1101-F.Paste.gbr     Front (Top) Solder Paste
R1101-B.Paste.gbr     Back (Bottom) Solder Paste
R1101-B.SilkS.gbr     Back (Bottom) Silk Screen
R1101-F.SilkS.gbr     Front (Top) Silk Screen
R1101-F.Mask.gbr      Front (Top) Solder Mask
R1101-B.Mask.gbr      Back (Bottom) Solder Mask
R1101-Edge.Cuts.gbr   Edge Cut (routing cut)
R1101-NPTH.drl        Non-Plated through hole drills
R1101.drl             Plated through hole drills
R1101-top.pos         Front (Top) component position file (SMT assembly)
R1101-bot.pos         Back (Bottom) component position file (SMT assembly)
